papel,segmento,cotação,ffo,dy,p/vp,valor_mercado,liquidez,num_imoveis,preço_m2,aluguel_m2,cap_rate,tx_vacancia
FIIB11,Híbrido,487.57,0.0839,0.0819,1.07,333985000.0,271974.0,11.0,597.64,56.58,0.0947,0.0124
FIIP11B,Híbrido,159.6,0.1017,0.0973,0.86,147975000.0,90967.0,7.0,2083.65,241.64,0.11599999999999999,0.0
FISC11,Lajes Corporativas,165.0,-0.0029,0.0072,1.43,280499000.0,0.0,4.0,19986.5,521.04,0.026099999999999998,0.060700000000000004
FISD11,Títulos e Val. Mob.,203.32,-0.24609999999999999,0.1164,2.63,218079000.0,0.0,1.0,0.0,0.0,0.0,0.0
FIXX11,Títulos e Val. Mob.,85.78,0.0679,0.0,1.35,321608000.0,0.0,0.0,0.0,0.0,0.0,0.0
FLCR11,Títulos e Val. Mob.,97.01,0.1691,0.17329999999999998,0.97,61465900.0,176668.0,0.0,0.0,0.0,0.0,0.0
FLMA11,Híbrido,135.01,0.0626,0.0652,0.86,186404000.0,64854.0,1.0,10661.2,762.78,0.07150000000000001,0.0
FLRP11,Shoppings,1569.0,0.06709999999999999,0.0664,0.91,102349000.0,13413.0,1.0,2360.78,182.93,0.0775,0.027200000000000002
FMOF11,Lajes Corporativas,62.01,0.0001,0.0023,0.51,31501600.0,2624.0,2.0,1868.5,152.76,0.0818,0.3784
FPAB11,Lajes Corporativas,217.76,0.0799,0.0802,0.53,163320000.0,9501.0,2.0,3564.2,415.32,0.1165,0.2675
FPNG11,Lajes Corporativas,62.76,0.11710000000000001,0.106,0.37,64162300.0,86.0,6.0,7163.82,1025.74,0.1432,0.2354
FRBR11,Títulos e Val. Mob.,103.71,0.10859999999999999,0.0,1.03,406517000.0,0.0,0.0,0.0,0.0,0.0,0.0
FTCE11B,Híbrido,2789.92,-0.0495,0.0675,1.0,2611020000.0,8877.0,69.0,2076.47,45.06,0.0217,0.0591
FVBI11,Lajes Corporativas,159.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,636.95,0.0,0.0
FVPQ11,Shoppings,118.35,0.06509999999999999,0.0689,0.59,331398000.0,170798.0,1.0,5754.51,792.51,0.1377,0.07400000000000001
GALG11,Híbrido,9.7,1.0447,0.1101,0.1,55760700.0,643937.0,6.0,516.6,448.49,0.8682,0.0
GAME11,Outros,9.6,0.0368,0.0719,0.99,197760000.0,276598.0,0.0,0.0,0.0,0.0,0.0
GCFF11,Títulos e Val. Mob.,72.83,0.1127,0.1668,0.86,24660100.0,44998.0,0.0,0.0,0.0,0.0,0.0
GCRA11,Títulos e Val. Mob.,101.4,0.0412,0.1039,1.03,160499000.0,204648.0,0.0,0.0,0.0,0.0,0.0
GCRI11,Títulos e Val. Mob.,95.94,0.1217,0.1573,0.99,111999000.0,157198.0,0.0,0.0,0.0,0.0,0.0
GESE11B,Outros,1520.0,0.0971,0.1027,0.86,79040000.0,0.0,1.0,6195.95,638.4,0.10300000000000001,0.0
GGRC11,Logística,119.0,0.0851,0.0862,0.92,923253000.0,1438090.0,19.0,1127.22,92.64,0.08220000000000001,0.0
GRLV11,Logística,145.5,0.0572,0.0,24.38,156199000.0,0.0,1.0,0.0,183.0,0.0,0.0369
GTLG11,Logística,99.99,0.0557,0.07730000000000001,1.08,717228000.0,341871.0,5.0,4115.78,183.65,0.0446,0.0381
GTWR11,Lajes Corporativas,82.29,0.1054,0.1043,0.84,987480000.0,763290.0,3.0,10991.5,1239.57,0.1128,0.0
GWIR11,Shoppings,175.99,0.027999999999999997,0.0,0.74,67231200.0,0.0,0.0,0.0,0.0,0.0421,0.0
HAAA11,Lajes Corporativas,92.0,0.07200000000000001,0.0711,1.02,317860000.0,966.0,2.0,21667.1,1602.73,0.07400000000000001,0.1693
HABT11,Títulos e Val. Mob.,94.9,0.0736,0.16399999999999998,0.95,771232000.0,1934660.0,0.0,0.0,0.0,0.0,0.0
HBCR11,Outros,111.0,0.21420000000000003,0.0891,1.29,30192000.0,72318.0,4.0,2535.89,399.98,0.1577,0.0
HBRH11,Híbrido,92.0,0.0993,0.0986,0.81,255043000.0,190462.0,5.0,8467.51,832.89,0.0984,0.028300000000000002
HBTT11,Títulos e Val. Mob.,1055.0,0.0653,0.0,1.19,190126000.0,0.0,0.0,0.0,0.0,0.0,0.0
HCHG11,Outros,84.7,0.057800000000000004,0.1151,0.81,101640000.0,84690.0,0.0,0.0,0.0,0.0,0.0
HCRI11,Hospital,246.0,0.1101,0.0989,0.82,49200000.0,63814.0,1.0,8920.7,1236.7,0.1386,0.0
HCTR11,Títulos e Val. Mob.,106.5,0.0815,0.168,0.88,2351970000.0,7165150.0,0.0,0.0,0.0,0.0,0.0
HFOF11,Títulos e Val. Mob.,75.99,0.1107,0.09449999999999999,0.92,1747770000.0,1131280.0,0.0,0.0,0.0,0.0,0.0
HGAG11,Outros,103.5,-0.0085,0.0031,1.02,25694100.0,31306.0,0.0,0.0,0.0,0.0,0.0
HGBS11,Shoppings,211.61,0.06280000000000001,0.06480000000000001,0.98,2116100000.0,2047500.0,12.0,4036.56,263.37,0.0652,0.0516
HGCR11,Títulos e Val. Mob.,103.99,0.09519999999999999,0.1229,1.02,1525220000.0,3645920.0,0.0,0.0,0.0,0.0,0.0
HGFF11,Títulos e Val. Mob.,78.89,0.09449999999999999,0.0895,0.9,225909000.0,516526.0,0.0,0.0,0.0,0.0,0.0
HGIC11,Títulos e Val. Mob.,108.58,0.0757,0.11460000000000001,0.92,31313800.0,316262.0,0.0,0.0,0.0,0.0,0.0
HGJH11,Lajes Corporativas,191.29,0.0839,0.0,0.71,335342000.0,0.0,2.0,26367.5,2366.36,0.0897,0.0404
HGLG11,Logística,168.51,0.0688,0.094,1.15,3952680000.0,5403170.0,20.0,2766.33,207.24,0.07490000000000001,0.0705
HGPO11,Lajes Corporativas,262.01,0.061200000000000004,0.062400000000000004,0.98,459318000.0,451309.0,2.0,36115.6,2366.36,0.0655,0.0404
HGRE11,Lajes Corporativas,141.44,0.0504,0.0755,0.87,1671510000.0,2428170.0,19.0,8315.46,536.64,0.0645,0.2475
HGRU11,Híbrido,128.25,0.0713,0.0754,1.08,2360630000.0,4113890.0,84.0,4499.27,353.92,0.0787,0.0
HLOG11,Logística,95.2,0.08439999999999999,0.0805,0.86,404600000.0,77647.0,4.0,9268.15,788.79,0.0851,0.0605
HMOC11,Shoppings,226.95,0.0217,0.0,0.95,86698800.0,0.0,0.0,0.0,0.0,0.0327,0.0
HOSI11,Híbrido,64.5,0.068,0.0858,0.7,36987500.0,13259.0,0.0,0.0,0.0,0.0,0.0
HPDP11,Shoppings,83.59,0.062400000000000004,0.0625,0.88,243148000.0,5260.0,1.0,1893.59,130.73,0.069,0.0207
HRDF11,Híbrido,1.04,-0.0159,0.0,0.91,7890610.0,1386.0,0.0,0.0,0.0,0.0,0.0
HREC11,Títulos e Val. Mob.,97.19,0.095,0.1207,1.07,452584000.0,16236.0,0.0,0.0,0.0,0.0,0.0
HSAF11,Títulos e Val. Mob.,85.1,0.0984,0.1517,0.9,150935000.0,379700.0,0.0,0.0,0.0,0.0,0.0
HSLG11,Logística,96.5,0.069,0.07719999999999999,0.92,1221700000.0,634106.0,4.0,2846.2,238.66,0.0839,0.0049
HSML11,Shoppings,92.23,0.0757,0.0755,0.93,1455450000.0,2891260.0,6.0,8948.38,523.09,0.058499999999999996,0.0513
HSRE11,Híbrido,101.0,0.0679,0.0705,1.05,860324000.0,1163200.0,27.0,8400.96,668.94,0.0796,0.0
HTMX11,Hotel,115.89,0.0069,0.0074,0.88,145676000.0,294234.0,24.0,59.34,1.26,0.0212,0.0
HUCG11,Hospital,102.77,0.0149,0.0313,1.01,115308000.0,1010.0,2.0,1097.23,0.0,0.0,0.0
HUSC11,Outros,107.01,0.08439999999999999,0.0832,0.75,85031500.0,7591.0,1.0,1150.73,130.78,0.11359999999999999,0.0
HUSI11,Hospital,1071.0,0.0001,0.0137,1.08,124624000.0,22815.0,1.0,6121.99,7.92,0.0013,0.0
IBCR11,Títulos e Val. Mob.,91.87,0.1207,0.18230000000000002,0.97,88050300.0,264665.0,0.0,0.0,0.0,0.0,0.0
IBFF11,Títulos e Val. Mob.,66.4,0.0828,0.08199999999999999,0.93,44267600.0,106955.0,0.0,0.0,0.0,0.0,0.0
IDFI11,Híbrido,69.84,0.0045000000000000005,0.6803,0.96,143725000.0,17182.0,111.0,0.0,0.0,0.0,0.0
IDGR11,Híbrido,99.76,0.0562,0.2857,1.14,88123900.0,0.0,1.0,0.0,0.0,0.0,0.0
IFID11,Títulos e Val. Mob.,80.06,0.17550000000000002,0.0446,0.93,59897000.0,0.0,0.0,0.0,0.0,0.0,0.0
IFIE11,Títulos e Val. Mob.,71.98,0.1114,0.028399999999999998,0.93,64817600.0,0.0,0.0,0.0,0.0,0.0,0.0
IRDM11,Títulos e Val. Mob.,103.5,0.1007,0.1407,1.09,3420110000.0,6960970.0,0.0,0.0,0.0,0.0,0.0
IRIM11,Híbrido,106.86,0.0933,0.1472,1.09,205171000.0,206773.0,0.0,0.0,0.0,0.0,0.0
ITIP11,Títulos e Val. Mob.,83.42,0.1685,0.0942,0.97,62410800.0,108194.0,0.0,0.0,0.0,0.0,0.0
ITIT11,Títulos e Val. Mob.,75.3,0.1065,0.0582,0.97,67807200.0,94966.0,0.0,0.0,0.0,0.0,0.0
JASC11,Outros,100.0,-0.0028000000000000004,0.008199999999999999,0.86,182029000.0,35871.0,2.0,1633.47,0.0,0.0,0.0
JBFO11,Títulos e Val. Mob.,86.69,0.0764,0.0774,1.02,110883000.0,537.0,0.0,0.0,0.0,0.0,0.0
JFLL11,Residencial,73.64,0.1562,0.10039999999999999,0.73,110504000.0,147236.0,2.0,7456.96,1250.91,0.1678,0.39049999999999996
JGPX11,Híbrido,98.33,0.0436,0.058600000000000006,1.03,83393400.0,121678.0,0.0,0.0,0.0,0.0,0.0
JPPA11,Híbrido,106.67,0.1013,0.1679,1.06,64424800.0,608720.0,0.0,0.0,0.0,0.0,0.0
JPPC11,Híbrido,199.99,0.3503,0.09140000000000001,0.54,10999400.0,5.0,0.0,0.0,0.0,0.0,0.0
JRDM11,Shoppings,85.95,0.0632,0.0681,0.98,216849000.0,169802.0,1.0,7326.25,642.66,0.0877,0.0319
JSAF11,Títulos e Val. Mob.,88.83,0.0521,0.0518,0.92,139734000.0,349429.0,0.0,0.0,0.0,0.0,0.0
JSRE11,Híbrido,84.0,0.0692,0.0723,0.74,1744460000.0,3123470.0,6.0,14730.6,1184.71,0.08039999999999999,0.1492
KCRE11,Títulos e Val. Mob.,92.8,0.0072,0.0409,0.95,334080000.0,297045.0,0.0,0.0,0.0,0.0,0.0
KEVE11,Residencial,1045.0,0.011200000000000002,0.07150000000000001,1.08,154348000.0,21688.0,0.0,0.0,0.0,0.0,0.0
KFOF11,Títulos e Val. Mob.,87.49,0.0882,0.08689999999999999,0.95,396620000.0,809214.0,0.0,0.0,0.0,0.0,0.0
KINP11,Residencial,14.46,-0.009000000000000001,0.3654,2.41,103359000.0,71608.0,1.0,0.0,0.0,0.0,0.0
KISU11,Títulos e Val. Mob.,8.28,0.1026,0.0987,0.94,365943000.0,992865.0,0.0,0.0,0.0,0.0,0.0
KIVO11,Títulos e Val. Mob.,103.0,0.066,0.0675,1.03,36884300.0,19833.0,0.0,0.0,0.0,0.0,0.0
KNCA11,Títulos e Val. Mob.,107.0,0.0451,0.0601,1.06,866691000.0,1375920.0,0.0,0.0,0.0,0.0,0.0
KNCR11,Títulos e Val. Mob.,101.99,0.0662,0.10460000000000001,1.01,4473410000.0,9212230.0,0.0,0.0,0.0,0.0,0.0
KNHY11,Títulos e Val. Mob.,96.6,0.069,0.1586,1.0,1786220000.0,2612020.0,0.0,0.0,0.0,0.0,0.0
KNIP11,Títulos e Val. Mob.,91.84,0.0621,0.1707,0.97,7372880000.0,11186600.0,0.0,0.0,0.0,0.0,0.0
KNRE11,Residencial,0.93,0.046,0.49090000000000006,0.81,17248900.0,5676.0,1.0,0.0,0.0,0.0,0.0
KNRI11,Híbrido,152.4,0.065,0.0649,0.95,3681550000.0,3694570.0,20.0,4579.83,304.43,0.0665,0.0014000000000000002
KNSC11,Títulos e Val. Mob.,85.6,0.0558,0.1744,0.97,1136410000.0,4300430.0,0.0,0.0,0.0,0.0,0.0
LASC11,Shoppings,91.99,0.0683,0.0787,0.82,231649000.0,73072.0,2.0,3391.64,168.1,0.0496,0.0268
LATR11B,Residencial,15.95,-0.1206,0.7994,1.45,1979460.0,8.0,0.0,0.0,0.0,0.0,0.0
LFTT11,Residencial,92.88,0.0013,0.1023,1.76,678446000.0,70503.0,426.0,14909.7,2.05,0.0001,0.0
LGCP11,Logística,86.22,0.1232,0.0819,0.84,235627000.0,532272.0,5.0,2898.99,369.03,0.1273,0.0
LOFT11B,Residencial,29.9,-0.11800000000000001,0.0,0.85,58678800.0,0.0,47.0,8110.36,19.38,0.0024,0.0
LSAG11,Títulos e Val. Mob.,105.0,0.0282,0.058899999999999994,1.04,59171400.0,123061.0,0.0,0.0,0.0,0.0,0.0
LSPA11,Outros,107.3,0.1192,0.0215,1.0,43402800.0,0.0,0.0,0.0,0.0,0.0,0.0
LUGG11,Residencial,78.55,0.12890000000000001,0.0827,0.61,70695000.0,51728.0,4.0,3193.34,536.94,0.1681,0.0054
LVBI11,Logística,113.0,0.075,0.0754,0.98,1330590000.0,1913660.0,9.0,3350.7,271.01,0.0809,0.0052
MALL11,Shoppings,108.3,0.12689999999999999,0.0765,1.01,818786000.0,1459820.0,8.0,4175.03,451.01,0.10800000000000001,0.04190000000000001
MANA11,Títulos e Val. Mob.,10.3,0.0039000000000000003,0.0115,1.06,121231000.0,126606.0,0.0,0.0,0.0,0.0,0.0
MATV11,Títulos e Val. Mob.,95.99,0.0655,0.1234,1.02,40888700.0,6063.0,0.0,0.0,0.0,0.0,0.0
MAXR11,Híbrido,85.03,0.08650000000000001,0.09050000000000001,0.71,95714400.0,135935.0,10.0,1295.5,129.57,0.1,0.0
MBRF11,Outros,678.0,0.16329999999999997,0.1648,0.61,68928200.0,111195.0,2.0,3816.56,686.86,0.18,0.0
MCCI11,Títulos e Val. Mob.,98.11,0.1184,0.124,1.04,1431830000.0,3351150.0,0.0,0.0,0.0,0.0,0.0
MCHF11,Títulos e Val. Mob.,9.87,0.0825,0.1331,1.03,318876000.0,1201870.0,0.0,0.0,0.0,0.0,0.0
MCHY11,Títulos e Val. Mob.,108.87,0.1477,0.1322,1.06,390818000.0,1212940.0,0.0,0.0,0.0,0.0,0.0
MFAI11,Híbrido,66.34,0.0971,0.129,0.9,20516800.0,36621.0,0.0,0.0,0.0,0.0,0.0
MFII11,Híbrido,96.0,0.121,0.1436,0.96,398102000.0,350956.0,4.0,110.99,0.0,0.0,0.0
MGCR11,Títulos e Val. Mob.,91.07,0.1075,0.1328,1.01,129529000.0,237816.0,0.0,0.0,0.0,0.0,0.0
MGFF11,Títulos e Val. Mob.,66.62,0.0824,0.0983,0.91,602952000.0,1116410.0,0.0,0.0,0.0,0.0,0.0
MGHT11,Híbrido,72.96,0.09050000000000001,0.1245,0.85,95853700.0,106140.0,1.0,8629.36,801.31,0.0929,0.0
MGIM11,Híbrido,101.5,-0.023799999999999998,0.11939999999999999,1.03,25101000.0,0.0,0.0,0.0,0.0,0.0,0.0
MGLG11,Logística,44.6,0.0883,0.1284,1.14,84212600.0,132985.0,2.0,0.0,202.87,0.0,0.0
MORC11,Títulos e Val. Mob.,95.5,0.0821,0.1266,0.97,123380000.0,297186.0,0.0,0.0,0.0,0.0,0.0
MORE11,Títulos e Val. Mob.,76.76,0.09630000000000001,0.1084,0.91,178015000.0,595127.0,0.0,0.0,0.0,0.0,0.0
MXRF11,Híbrido,10.17,0.09119999999999999,0.11380000000000001,1.01,2298820000.0,6790020.0,3.0,9103.61,0.0,0.0,0.0
NAVT11,Títulos e Val. Mob.,79.0,0.09789999999999999,0.10980000000000001,0.89,83306100.0,136270.0,0.0,0.0,0.0,0.0,0.0
NCHB11,Títulos e Val. Mob.,92.62,0.1355,0.0907,1.0,148363000.0,564130.0,0.0,0.0,0.0,0.0,0.0
NCRA11,Títulos e Val. Mob.,95.12,0.0326,0.0649,1.01,38213800.0,160344.0,0.0,0.0,0.0,0.0,0.0
NEWL11,Híbrido,101.98,0.2009,0.1072,0.79,207335000.0,220470.0,3.0,2647.01,420.1,0.15869999999999998,0.0
NEWU11,Híbrido,33.33,-0.061799999999999994,0.0,0.52,24730900.0,11811.0,3.0,1836.68,219.58,0.11960000000000001,0.632
NPAR11,Outros,12.82,2.1332,0.0,0.7,1533140.0,0.0,0.0,0.0,0.0,0.0,0.0
NSLU11,Hospital,174.67,0.056799999999999996,0.07150000000000001,0.9,225898000.0,294430.0,1.0,9419.5,1054.42,0.1119,0.0
NVHO11,Hospital,10.21,0.1379,0.0852,0.8,423659000.0,3916.0,4.0,13833.8,1964.29,0.142,0.0
OIAG11,Híbrido,9.78,0.0125,0.0346,1.0,40742400.0,37575.0,0.0,0.0,0.0,0.0,0.0
ONEF11,Lajes Corporativas,171.28,0.0583,0.06,0.98,156036000.0,357753.0,1.0,25516.5,1665.14,0.0653,0.0
ORPD11,Títulos e Val. Mob.,93.0,-0.0,0.0,0.62,26970000.0,0.0,0.0,0.0,0.0,0.0,0.0
OUCY11,Híbrido,88.5,0.1501,0.0,0.96,95322200.0,0.0,6.0,2460.76,273.64,0.1112,0.0
OUFF11,Títulos e Val. Mob.,66.96,0.1459,0.1226,0.87,121488000.0,281503.0,0.0,0.0,0.0,0.0,0.0
OUJP11,Híbrido,96.11,0.1409,0.14550000000000002,0.95,312587000.0,703896.0,0.0,0.0,0.0,0.0,0.0
OULG11,Logística,46.89,0.1133,0.0673,0.64,116347000.0,111054.0,2.0,1217.4,190.45,0.1564,0.0
OURE11,Híbrido,83.1,0.1598,0.1432,0.9,89505900.0,144084.0,6.0,2310.61,273.64,0.1184,0.0
PATC11,Lajes Corporativas,71.75,0.0508,0.058499999999999996,0.83,249506000.0,271407.0,7.0,15536.0,1014.35,0.0653,0.2188
PATL11,Logística,80.57,0.08349999999999999,0.09230000000000001,0.82,402168000.0,1122490.0,4.0,2582.19,249.78,0.0967,0.0
PDDA11B,Logística,106.5,0.0499,0.0,1.46,264257000.0,0.0,2.0,2765.04,190.45,0.0689,0.0
PEMA11,Títulos e Val. Mob.,63.0,0.18969999999999998,0.2602,0.81,34776000.0,6545.0,0.0,0.0,0.0,0.0,0.0
PLCA11,Títulos e Val. Mob.,99.98,0.0,0.0089,1.04,55690800.0,20384.0,0.0,0.0,0.0,0.0,0.0
PLCR11,Híbrido,85.81,0.1868,0.1478,0.93,180988000.0,383880.0,0.0,0.0,0.0,0.0,0.0
PLOG11,Logística,78.0,0.1745,0.1143,0.78,58500000.0,161745.0,1.0,793.99,158.44,0.1996,0.0
PLRI11,Títulos e Val. Mob.,27.0,-0.0319,0.5125,0.77,25766200.0,5605.0,0.0,0.0,0.0,0.0,0.0
PORD11,Títulos e Val. Mob.,96.5,0.1358,0.15130000000000002,0.98,359788000.0,890600.0,0.0,0.0,0.0,0.0,0.0
PQAG11,Logística,55.99,0.08380000000000001,0.08439999999999999,0.98,783406000.0,5588.0,1.0,12433.1,1041.64,0.08380000000000001,0.0
PQDP11,Shoppings,2280.98,0.0766,0.0766,0.69,560010000.0,177621.0,1.0,78650.9,8092.74,0.10289999999999999,0.0
PRSN11B,Residencial,0.88,-0.0897,0.0821,0.73,11374000.0,468.0,2.0,19011.9,0.0,0.0,0.0
PRSV11,Lajes Corporativas,113.5,0.0644,0.0,0.47,22132500.0,5229.0,1.0,1979.06,356.21,0.18,0.409
PURB11,Híbrido,95.1,0.0808,0.025099999999999997,0.92,98603700.0,16072.0,2.0,19798.9,1831.23,0.0925,0.0
PVBI11,Lajes Corporativas,97.79,0.068,0.0626,0.99,981762000.0,3365350.0,4.0,11007.7,756.5,0.0687,0.0
QAGR11,Outros,46.97,0.0993,0.09880000000000001,0.84,236729000.0,325789.0,12.0,2789.55,312.54,0.11199999999999999,0.0
QAMI11,Híbrido,86.53,0.2664,0.174,0.94,69345000.0,57013.0,0.0,0.0,0.0,0.0,0.0
QIFF11,Títulos e Val. Mob.,97.49,0.07629999999999999,0.0,1.15,14623500.0,0.0,0.0,0.0,0.0,0.0,0.0
QIRI11,Títulos e Val. Mob.,79.0,0.0942,0.0971,0.93,11850000.0,2064.0,0.0,0.0,0.0,0.0,0.0
QMFF11,Títulos e Val. Mob.,98.52,0.0755,0.0,1.16,14778000.0,0.0,0.0,0.0,0.0,0.0,0.0
RBBV11,Títulos e Val. Mob.,100.0,0.06509999999999999,0.0,0.99,125416000.0,0.0,0.0,0.0,0.0,0.0,0.0
RBCO11,Lajes Corporativas,41.9,0.1294,0.10300000000000001,0.49,158340000.0,208356.0,4.0,3597.51,614.84,0.1709,0.0
